"GEO_ID","NAME","B28002_001E","B28002_001M","B28002_002E","B28002_002M","B28002_003E","B28002_003M","B28002_004E","B28002_004M","B28002_005E","B28002_005M","B28002_006E","B28002_006M","B28002_007E","B28002_007M","B28002_008E","B28002_008M","B28002_009E","B28002_009M","B28002_010E","B28002_010M","B28002_011E","B28002_011M","B28002_012E","B28002_012M","B28002_013E","B28002_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With an Internet subscription","Margin of Error!!Total:!!With an Internet subscription","Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total:!!With an Internet subscription!!Broadband of any type","Estimate!!Total:!!With an Internet subscription!!Cellular data plan","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan","Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL","Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service","Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription","Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Margin of Error!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription","Estimate!!Total:!!Internet access without a subscription","Margin of Error!!Total:!!Internet access without a subscription","Estimate!!Total:!!No Internet access","Margin of Error!!Total:!!No Internet access",
"1400000US06073000100","Census Tract 1; San Diego County; California","1103","133","1085","132","0","14","1085","132","1033","133","33","30","1044","131","36","28","39","29","8","13","0","14","0","14","18","21",
"1400000US06073000201","Census Tract 2.01; San Diego County; California","1258","121","1164","122","0","14","1164","122","1068","126","40","28","1081","119","85","53","80","58","0","14","0","14","0","14","94","77",
"1400000US06073000202","Census Tract 2.02; San Diego County; California","2253","210","2176","220","0","14","2176","220","2048","218","173","119","1956","238","128","103","59","82","0","14","0","14","12","20","65","49",
"1400000US06073000301","Census Tract 3.01; San Diego County; California","1368","173","1272","164","0","14","1272","164","1175","167","77","70","1187","168","97","72","0","14","0","14","0","14","37","37","59","57",
"1400000US06073000302","Census Tract 3.02; San Diego County; California","1773","184","1675","202","0","14","1675","202","1581","207","186","112","1489","229","94","70","89","76","0","14","0","14","11","18","87","76",
"1400000US06073000400","Census Tract 4; San Diego County; California","2509","269","2360","283","0","14","2360","283","2227","297","155","98","2159","323","133","112","264","207","0","14","0","14","19","31","130","71",
"1400000US06073000500","Census Tract 5; San Diego County; California","1572","173","1424","175","26","39","1398","178","1313","179","48","42","1340","162","85","57","33","42","0","14","0","14","84","74","64","48",
"1400000US06073000600","Census Tract 6; San Diego County; California","1879","200","1714","197","0","14","1714","197","1656","199","132","99","1547","225","58","49","70","43","0","14","0","14","32","32","133","74",
"1400000US06073000700","Census Tract 7; San Diego County; California","2587","346","2434","342","0","14","2434","342","2316","333","160","121","2194","342","103","94","103","83","0","14","0","14","0","14","153","169",
"1400000US06073000800","Census Tract 8; San Diego County; California","2898","270","2621","267","0","19","2621","267","2572","276","170","121","2451","276","49","49","18","28","0","19","0","19","28","44","249","155",
"1400000US06073000901","Census Tract 9.01; San Diego County; California","2031","217","1885","223","0","14","1885","223","1878","222","186","111","1660","214","7","11","60","57","0","14","0","14","43","68","103","91",
"1400000US06073000902","Census Tract 9.02; San Diego County; California","1551","148","1360","193","0","14","1360","193","1281","188","215","128","1133","210","79","59","96","79","0","14","0","14","29","33","162","96",
"1400000US06073001000","Census Tract 10; San Diego County; California","2603","237","2490","243","0","14","2490","243","2457","245","188","121","2272","259","33","40","83","72","0","14","0","14","0","14","113","92",
"1400000US06073001100","Census Tract 11; San Diego County; California","1664","242","1584","255","0","14","1584","255","1569","255","190","89","1352","252","15","17","9","16","0","14","0","14","13","15","67","67",
"1400000US06073001201","Census Tract 12.01; San Diego County; California","1363","303","1287","309","0","14","1287","309","1287","309","155","108","1132","319","0","14","0","14","0","14","0","14","14","33","62","54",
"1400000US06073001202","Census Tract 12.02; San Diego County; California","1720","249","1629","248","0","14","1629","248","1600","249","226","112","1378","272","29","28","26","28","0","14","0","14","11","18","80","71",
"1400000US06073001301","Census Tract 13.01; San Diego County; California","1575","180","1553","183","0","14","1553","183","1526","184","64","47","1463","194","27","26","95","78","0","14","0","14","0","14","22","32",
"1400000US06073001302","Census Tract 13.02; San Diego County; California","2060","228","2031","233","0","14","2031","233","2019","232","330","117","1689","273","12","31","19","23","0","14","0","14","0","14","29","38",
"1400000US06073001400","Census Tract 14; San Diego County; California","1829","225","1735","219","0","14","1735","219","1558","220","259","127","1476","232","177","109","22","25","0","14","0","14","15","18","79","39",
"1400000US06073001500","Census Tract 15; San Diego County; California","1979","167","1846","153","0","14","1846","153","1809","157","125","64","1701","153","37","30","92","55","0","14","0","14","23","28","110","95",
"1400000US06073001600","Census Tract 16; San Diego County; California","2269","272","2021","273","0","19","2021","273","1939","274","217","123","1782","292","82","77","159","144","0","19","0","19","41","48","207","127",
"1400000US06073001700","Census Tract 17; San Diego County; California","2425","373","2308","391","0","14","2308","391","2265","395","338","167","1932","411","43","43","93","74","0","14","0","14","52","82","65","50",
"1400000US06073001801","Census Tract 18.01; San Diego County; California","922","119","912","120","6","12","906","120","895","120","105","83","790","138","11","16","18","20","0","14","0","14","0","14","10","18",
"1400000US06073001802","Census Tract 18.02; San Diego County; California","1786","273","1713","264","0","14","1713","264","1657","272","104","61","1609","266","56","48","63","58","0","14","0","14","0","14","73","79",
"1400000US06073001900","Census Tract 19; San Diego County; California","1553","174","1523","169","0","14","1523","169","1499","172","94","44","1401","173","15","17","149","73","0","14","0","14","19","30","11","17",
"1400000US06073002001","Census Tract 20.01; San Diego County; California","1516","101","1490","104","0","14","1490","104","1388","123","125","69","1365","101","89","56","35","27","0","14","0","14","8","12","18","20",
"1400000US06073002002","Census Tract 20.02; San Diego County; California","1139","138","1069","146","5","8","1064","145","1027","149","19","19","1036","144","18","21","9","14","9","14","0","14","48","69","22","23",
"1400000US06073002100","Census Tract 21; San Diego County; California","2670","342","2476","350","7","15","2469","349","2416","355","370","188","2084","383","53","51","72","87","0","19","0","19","49","59","145","119",
"1400000US06073002201","Census Tract 22.01; San Diego County; California","1425","467","1364","478","0","14","1364","478","1305","477","407","441","895","196","59","69","76","63","0","14","0","14","9","16","52","42",
"1400000US06073002202","Census Tract 22.02; San Diego County; California","1632","155","1471","173","0","14","1471","173","1357","186","313","116","1108","204","99","89","81","79","15","24","0","14","27","37","134","68",
"1400000US06073002301","Census Tract 23.01; San Diego County; California","1437","237","1361","241","0","14","1361","241","1301","236","120","78","1164","262","60","55","28","35","0","14","0","14","29","23","47","36",
"1400000US06073002302","Census Tract 23.02; San Diego County; California","2036","405","1596","367","0","19","1596","367","1463","412","638","374","941","182","133","123","81","57","0","19","0","19","70","90","370","189",
"1400000US06073002401","Census Tract 24.01; San Diego County; California","1642","157","1520","164","0","14","1520","164","1476","176","169","85","1304","177","44","37","105","72","0","14","0","14","17","20","105","50",
"1400000US06073002402","Census Tract 24.02; San Diego County; California","1739","365","1612","365","0","14","1612","365","1530","375","384","178","1188","366","82","98","82","75","0","14","0","14","0","14","127","81",
"1400000US06073002501","Census Tract 25.01; San Diego County; California","1383","127","1298","130","10","15","1288","132","1232","135","173","74","1115","143","43","28","42","33","0","14","0","14","0","14","85","66",
